"CVaR";"mean";"Sharp";"CMIG4.SA";"CPLE6.SA";"CPFE3.SA";"ELET3.SA";"ELET6.SA";"ENBR3.SA";"ENGI11.SA";"ENEV3.SA";"EGIE3.SA";"EQTL3.SA";"TAEE11.SA";"SBSP3.SA"
"1";0,5085;-0,0253;-0,1004;0;0,0305;0;0;0;0;0;0,9695;0;0;0;0
"2";0,493;-0,0243;-0,1009;0;0,061;0;0;0;0;0;0,939;0;0;0;0
"3";0,4776;-0,0233;-0,1013;0;0,0915;0;0;0;0;0;0,9085;0;0;0;0
"4";0,4622;-0,0223;-0,1018;0;0,122;0;0;0;0;0;0,878;0;0;0;0
"5";0,4467;-0,0214;-0,1023;0;0,1526;0;0;0;0;0;0,8474;0;0;0;0
"6";0,4322;-0,0204;-0,1019;0;0,1596;0,0225;0;0;0;0;0,8179;0;0;0;0
"7";0,418;-0,0194;-0,1013;0;0,1607;0,0506;0;0;0;0;0,7886;0;0;0;0
"8";0,4037;-0,0184;-0,1006;0;0,1619;0,0787;0;0;0;0;0,7594;0;0;0;0
"9";0,3894;-0,0174;-0,0998;0;0,1631;0,1068;0;0;0;0;0,7301;0;0;0;0
"10";0,3752;-0,0164;-0,099;0;0,1643;0,1349;0;0;0;0;0,7008;0;0;0;0
"11";0,3609;-0,0155;-0,0982;0;0,1655;0,163;0;0;0;0;0,6715;0;0;0;0
"12";0,3466;-0,0145;-0,0973;0;0,1667;0,1911;0;0;0;0;0,6423;0;0;0;0
"13";0,3329;-0,0135;-0,0977;0;0,1679;0,2192;0;0;0;0;0,613;0;0;0;0
"14";0,3192;-0,0125;-0,0984;0;0,1691;0,2472;0;0;0;0;0,5837;0;0;0;0
"15";0,3056;-0,0115;-0,0992;0;0,1703;0,2753;0;0;0;0;0,5544;0;0;0;0
"16";0,2919;-0,0105;-0,1001;0;0,1714;0,3034;0;0;0;0;0,5251;0;0;0;0
"17";0,2783;-0,0095;-0,1012;0;0,1726;0,3315;0;0;0;0;0,4959;0;0;0;0
"18";0,2663;-0,0086;-0,1004;0;0,1654;0,3361;0;0;0,0302;0;0,4683;0;0;0;0
"19";0,2544;-0,0076;-0,0977;0;0,1578;0,3396;0;0;0,0617;0;0,4409;0;0;0;0
"20";0,2427;-0,0066;-0,0939;0;0,1502;0,3432;0;0;0,0932;0;0,4134;0;0;0;0
"21";0,2309;-0,0056;-0,0899;0;0,1426;0,3467;0;0;0,1248;0;0,3859;0;0;0;0
"22";0,2191;-0,0046;-0,0856;0;0,135;0,3502;0;0;0,1563;0;0,3585;0;0;0;0
"23";0,2075;-0,0036;-0,0813;0;0,1263;0,3515;0;0;0,1844;0;0,3318;0,0059;0;0;0
"24";0,1984;-0,0027;-0,0826;0;0,1118;0,3408;0;0;0,1946;0;0,3096;0,0432;0;0;0
"25";0,1892;-0,0017;-0,0841;0;0,0972;0,3301;0;0;0,2048;0;0,2874;0,0805;0;0;0
"26";0,1802;-7e-04;-0,0847;0;0,0821;0,3185;0;0;0,2134;0,0145;0,2682;0,1033;0;0;0
"27";0,1714;3e-04;-0,0785;0;0,0667;0,3063;0;0;0,221;0,0386;0,251;0,1164;0;0;0
"28";0,1628;0,0013;-0,0686;0;0,0513;0,2941;0;0;0,2286;0,0626;0,2338;0,1296;0;0;0
"29";0,1542;0,0023;-0,0587;0;0,0359;0,2819;0;0;0,2362;0,0867;0,2166;0,1427;0;0;0
"30";0,1456;0,0033;-0,0488;0;0,0205;0,2697;0;0;0,2438;0,1107;0,1994;0,1559;0;0;0
"31";0,1369;0,0042;-0,0388;0;0,0051;0,2574;0;0;0,2514;0,1348;0,1822;0,169;0;0;0
"32";0,1278;0,0052;-0,0288;0;0;0,2418;0;0;0,2576;0,1586;0,1638;0,1783;0;0;0
"33";0,1184;0,0062;-0,0187;0;0;0,2244;0;0;0,2631;0,1821;0,1448;0,1857;0;0;0
"34";0,1102;0,0072;-0,0094;0;0;0,207;0;0;0,2686;0,2057;0,1257;0,193;0;0;0
"35";0,1034;0,0082;0,0012;0;0;0,1884;0;0;0,2714;0,2228;0,1082;0,1904;0;0,0188;0
"36";0,0969;0,0092;0,0131;0;0;0,1697;0;0;0,2737;0,2391;0,0909;0,1864;0;0,0401;0
"37";0,0921;0,0101;0,0269;0;0;0,1517;0;0;0,2741;0,2522;0,0747;0,1808;0,0075;0,0591;0
"38";0,0894;0,0111;0,0434;0;0;0,1357;0;0;0,2688;0,2566;0,0612;0,1706;0,036;0,0712;0
"39";0,0874;0,0121;0,067;0;0;0,1197;0;0;0,2635;0,261;0,0476;0,1605;0,0644;0,0832;0
"40";0,0855;0,0131;0,0897;0;0;0,1037;0;0;0,2582;0,2654;0,0341;0,1504;0,0928;0,0953;0
"41";0,0836;0,0141;0,1161;0;0;0,0877;0;0;0,2529;0,2698;0,0206;0,1403;0,1213;0,1074;0
"42";0,0819;0,0151;0,1318;0;0;0,0717;0;0;0,2476;0,2742;0,0071;0,1301;0,1497;0,1195;0
"43";0,0814;0,0161;0,1499;0;0;0,0456;0;0;0,2304;0,2823;0;0,1183;0,1913;0,1321;0
"44";0,0826;0,017;0,1775;0;0;0,0081;0;0;0,2;0,2945;0;0,1047;0,2475;0,1452;0
"45";0,0843;0,018;0,1957;0;0;0;0;0;0,1505;0,3064;0;0,0725;0,3142;0,1563;0
"46";0,0866;0,019;0,2045;0;0;0;0;0;0,0958;0,3183;0;0,0353;0,3838;0,1668;0
"47";0,0912;0,02;0,2286;0;0;0;0;0;0,0399;0,3297;0;0;0,4534;0,177;0
"48";0,1;0,021;0,1868;0;0;0;0;0;0;0,3029;0;0;0,6131;0,084;0
"49";0,1198;0,022;0,1518;0;0;0;0;0;0;0;0;0;1;0;0
