"Setor";"Papel";"Nome Empresa"
"Petróleo, Gás e Biocombustíveis";"RRRP3.SA";"3R PETROLEUM"
"Petróleo, Gás e Biocombustíveis";"CSAN3.SA";"COSAN "
"Petróleo, Gás e Biocombustíveis";"DMMO3.SA";"DOMMO"
"Petróleo, Gás e Biocombustíveis";"ENAT3.SA";"ENAUTA PART"
"Petróleo, Gás e Biocombustíveis";"RPMG3.SA";"PET MANGUINH"
"Petróleo, Gás e Biocombustíveis";"PETR3.SA";"PETROBRAS "
"Petróleo, Gás e Biocombustíveis";"PETR4.SA";"PETROBRAS "
"Petróleo, Gás e Biocombustíveis";"RECV3.SA";"PETRORECSA "
"Petróleo, Gás e Biocombustíveis";"PRIO3.SA";"PETRORIO"
"Petróleo, Gás e Biocombustíveis";"UGPA3.SA";"ULTRAPAR "
"Petróleo, Gás e Biocombustíveis";"VBBR3.SA";"VIBRA"
"Petróleo, Gás e Biocombustíveis";"LUPA3.SA";"LUPATECH "
"Petróleo, Gás e Biocombustíveis";"OPCT3.SA";"OCEANPACT"
"Petróleo, Gás e Biocombustíveis";"OSXB3.SA";"OSX BRASIL "
"Materiais Básicos";;"AURA 360"
"Materiais Básicos";"BRAP3.SA";"BRADESPAR "
"Materiais Básicos";"BRAP4.SA";"BRADESPAR "
"Materiais Básicos";"CBAV3.SA";"CBA"
"Materiais Básicos";"CMIN3.SA";"CSNMINERACAO"
"Materiais Básicos";;"LITEL "
"Materiais Básicos";;"LITELA"
"Materiais Básicos";"MMXM11.SA";"MMX MINER "
"Materiais Básicos";"MMXM3.SA";"MMX MINER "
"Materiais Básicos";"VALE3.SA";"VALE "
"Materiais Básicos";"FESA3.SA";"FERBASA "
"Materiais Básicos";"FESA4.SA";"FERBASA "
"Materiais Básicos";"GGBR3.SA";"GERDAU "
"Materiais Básicos";"GGBR4.SA";"GERDAU "
"Materiais Básicos";"GOAU3.SA";"GERDAU MET "
"Materiais Básicos";"GOAU4.SA";"GERDAU MET "
"Materiais Básicos";"CSNA3.SA";"SID NACIONAL"
"Materiais Básicos";"USIM3.SA";"USIMINAS "
"Materiais Básicos";"USIM5.SA";"USIMINAS "
"Materiais Básicos";"USIM6.SA";"USIMINAS "
"Materiais Básicos";"MGEL3.SA";"MANGELS INDL"
"Materiais Básicos";"MGEL4.SA";"MANGELS INDL"
"Materiais Básicos";"PATI3.SA";"PANATLANTICA"
"Materiais Básicos";"PATI4.SA";"PANATLANTICA"
"Materiais Básicos";"TKNO3.SA";"TEKNO "
"Materiais Básicos";"TKNO4.SA";"TEKNO "
"Materiais Básicos";"PMAM3.SA";"PARANAPANEMA"
"Materiais Básicos";"BRKM3.SA";"BRASKEM "
"Materiais Básicos";"BRKM5.SA";"BRASKEM "
"Materiais Básicos";"BRKM6.SA";"BRASKEM "
"Materiais Básicos";"DEXP3.SA";"DEXXOS PAR"
"Materiais Básicos";"DEXP4.SA";"DEXXOS PAR"
"Materiais Básicos";"FHER3.SA";"FER HERINGER"
"Materiais Básicos";"NUTR3.SA";"NUTRIPLANT "
"Materiais Básicos";"VITT3.SA";"VITTIA"
"Materiais Básicos";"CRPG3.SA";"CRISTAL"
"Materiais Básicos";"CRPG5.SA";"CRISTAL"
"Materiais Básicos";"CRPG6.SA";"CRISTAL"
"Materiais Básicos";"UNIP3.SA";"UNIPAR "
"Materiais Básicos";"UNIP5.SA";"UNIPAR "
"Materiais Básicos";"UNIP6.SA";"UNIPAR "
"Materiais Básicos";"DXCO3.SA";"DEXCO"
"Materiais Básicos";"EUCA3.SA";"EUCATEX "
"Materiais Básicos";"EUCA4.SA";"EUCATEX "
"Materiais Básicos";"KLBN11.SA";"KLABIN S/A "
"Materiais Básicos";"KLBN3.SA";"KLABIN S/A "
"Materiais Básicos";"KLBN4.SA";"KLABIN S/A "
"Materiais Básicos";"MSPA3.SA";"MELHOR SP "
"Materiais Básicos";"MSPA4.SA";"MELHOR SP "
"Materiais Básicos";;"SUZANO HOLD "
"Materiais Básicos";"SUZB3.SA";"SUZANO S.A."
"Materiais Básicos";"RANI3.SA";"IRANI "
"Materiais Básicos";"MTIG3.SA";"METAL IGUACU"
"Materiais Básicos";"MTIG4.SA";"METAL IGUACU"
"Materiais Básicos";"SNSY3.SA";"SANSUY "
"Materiais Básicos";"SNSY5.SA";"SANSUY "
"Materiais Básicos";"SNSY6.SA";"SANSUY "
"Bens Industriais";"ETER3.SA";"ETERNIT "
"Bens Industriais";"HAGA3.SA";"HAGA S/A "
"Bens Industriais";"HAGA4.SA";"HAGA S/A "
"Bens Industriais";"PTBL3.SA";"PORTOBELLO "
"Bens Industriais";"AZEV3.SA";"AZEVEDO "
"Bens Industriais";"AZEV4.SA";"AZEVEDO "
"Bens Industriais";"SOND3.SA";"SONDOTECNICA"
"Bens Industriais";"SOND5.SA";"SONDOTECNICA"
"Bens Industriais";"SOND6.SA";"SONDOTECNICA"
"Bens Industriais";"TCNO3.SA";"TECNOSOLO "
"Bens Industriais";"TCNO4.SA";"TECNOSOLO "
"Bens Industriais";"EMBR3.SA";"EMBRAER "
"Bens Industriais";"FRAS3.SA";"FRAS-LE "
"Bens Industriais";"POMO3.SA";"MARCOPOLO "
"Bens Industriais";"POMO4.SA";"MARCOPOLO "
"Bens Industriais";"RAPT3.SA";"RANDON PART "
"Bens Industriais";"RAPT4.SA";"RANDON PART "
"Bens Industriais";"RCSL3.SA";"RECRUSUL "
"Bens Industriais";"RCSL4.SA";"RECRUSUL "
"Bens Industriais";"RSUL3.SA";"RIOSULENSE "
"Bens Industriais";"RSUL4.SA";"RIOSULENSE "
"Bens Industriais";"TUPY3.SA";"TUPY "
"Bens Industriais";"MWET3.SA";"WETZEL S/A "
"Bens Industriais";"MWET4.SA";"WETZEL S/A "
"Bens Industriais";"SHUL3.SA";"SCHULZ "
"Bens Industriais";"SHUL4.SA";"SCHULZ "
"Bens Industriais";"WEGE3.SA";"WEG "
"Bens Industriais";"EALT3.SA";"ACO ALTONA "
"Bens Industriais";"EALT4.SA";"ACO ALTONA "
"Bens Industriais";"AERI3.SA";"AERIS"
"Bens Industriais";"ARML3.SA";"ARMAC"
"Bens Industriais";"BDLL3.SA";"BARDELLA "
"Bens Industriais";"BDLL4.SA";"BARDELLA "
"Bens Industriais";"INEP3.SA";"INEPAR "
"Bens Industriais";"INEP4.SA";"INEPAR "
"Bens Industriais";"KEPL3.SA";"KEPLER WEBER"
"Bens Industriais";"FRIO3.SA";"METALFRIO "
"Bens Industriais";"MILS3.SA";"MILLS "
"Bens Industriais";"NORD3.SA";"NORDON MET "
"Bens Industriais";;"PRATICA"
"Bens Industriais";"ROMI3.SA";"ROMI "
"Bens Industriais";"MTSA3.SA";"METISA "
"Bens Industriais";"MTSA4.SA";"METISA "
"Bens Industriais";"TASA3.SA";"TAURUS ARMAS"
"Bens Industriais";"TASA4.SA";"TAURUS ARMAS"
"Bens Industriais";"AZUL4.SA";"AZUL"
"Bens Industriais";"GOLL4.SA";"GOL "
"Bens Industriais";;"ALL NORTE "
"Bens Industriais";;"ALL PAULISTA"
"Bens Industriais";"VSPT3.SA";"FER C ATLANT"
"Bens Industriais";;"MRS LOGIST "
"Bens Industriais";"RAIL3.SA";"RUMO S.A."
"Bens Industriais";"HBSA3.SA";"HIDROVIAS"
"Bens Industriais";"LOGN3.SA";"LOG-IN "
"Bens Industriais";"LUXM3.SA";"TREVISA "
"Bens Industriais";"LUXM4.SA";"TREVISA "
"Bens Industriais";"JSLG3.SA";"JSL "
"Bens Industriais";"TGMA3.SA";"TEGMA "
"Bens Industriais";;"AUTOBAN "
"Bens Industriais";"CCRO3.SA";"CCR SA "
"Bens Industriais";;"CONC RAPOSO "
"Bens Industriais";;"CONC RIO TER"
"Bens Industriais";;"ECOPISTAS "
"Bens Industriais";"ECOR3.SA";"ECORODOVIAS "
"Bens Industriais";;"ECOVIAS "
"Bens Industriais";;"ROD COLINAS "
"Bens Industriais";;"ROD TIETE "
"Bens Industriais";;"RT BANDEIRAS"
"Bens Industriais";;"TRIANGULOSOL"
"Bens Industriais";"TPIS3.SA";"TRIUNFO PART"
"Bens Industriais";;"VIAOESTE "
"Bens Industriais";;"GRUAIRPORT"
"Bens Industriais";;"HMOBI S.A"
"Bens Industriais";;"INVEPAR "
"Bens Industriais";"PSVM11.SA";"PORTO VM"
"Bens Industriais";;"SALUS INFRA"
"Bens Industriais";"STBP3.SA";"SANTOS BRP "
"Bens Industriais";"PORT3.SA";"WILSON SONS "
"Bens Industriais";"ATMP3.SA";"ATMASA"
"Bens Industriais";;"BBMLOGISTICA"
"Bens Industriais";"DTCY3.SA";"DTCOM-DIRECT"
"Bens Industriais";"ALPK3.SA";"ESTAPAR"
"Bens Industriais";;"FLEX S/A"
"Bens Industriais";"GGPS3.SA";"GPS"
"Bens Industriais";"PRNR3.SA";"PRINER"
"Bens Industriais";"SEQL3.SA";"SEQUOIA LOG"
"Bens Industriais";"VLID3.SA";"VALID "
"Bens Industriais";"EPAR3.SA";"EMBPAR S/A"
"Bens Industriais";"MMAQ3.SA";"MINASMAQUINA"
"Bens Industriais";"MMAQ4.SA";"MINASMAQUINA"
"Bens Industriais";;"RODOBENS"
"Bens Industriais";"WLMM3.SA";"WLM IND COM "
"Bens Industriais";"WLMM4.SA";"WLM IND COM "
"Consumo não Cíclico";"TTEN3.SA";"3TENTOS"
"Consumo não Cíclico";;"AGRIBRASIL"
"Consumo não Cíclico";"AGXY3.SA";"AGROGALAXY"
"Consumo não Cíclico";;"ALIPERTI "
"Consumo não Cíclico";"SOJA3.SA";"BOA SAFRA"
"Consumo não Cíclico";"AGRO3.SA";"BRASILAGRO "
"Consumo não Cíclico";;"CTC S.A."
"Consumo não Cíclico";"FRTA3.SA";"POMIFRUTAS"
"Consumo não Cíclico";"RAIZ4.SA";"RAIZEN"
"Consumo não Cíclico";"SLCE3.SA";"SLC AGRICOLA"
"Consumo não Cíclico";"LAND3.SA";"TERRASANTAPA"
"Consumo não Cíclico";"JALL3.SA";"JALLESMACHAD"
"Consumo não Cíclico";;"RAIZEN ENERG"
"Consumo não Cíclico";"SMTO3.SA";"SAO MARTINHO"
"Consumo não Cíclico";"BRFS3.SA";"BRF SA "
"Consumo não Cíclico";"BAUH3.SA";"EXCELSIOR "
"Consumo não Cíclico";"BAUH4.SA";"EXCELSIOR "
"Consumo não Cíclico";"JBSS3.SA";"JBS "
"Consumo não Cíclico";"MRFG3.SA";"MARFRIG "
"Consumo não Cíclico";"BEEF3.SA";"MINERVA "
"Consumo não Cíclico";"MNPR3.SA";"MINUPAR "
"Consumo não Cíclico";"CAML3.SA";"CAMIL"
"Consumo não Cíclico";"JOPA3.SA";"JOSAPAR "
"Consumo não Cíclico";"JOPA4.SA";"JOSAPAR "
"Consumo não Cíclico";"MDIA3.SA";"M.DIASBRANCO"
"Consumo não Cíclico";"ODER4.SA";"ODERICH "
"Consumo não Cíclico";"ABEV3.SA";"AMBEV S/A"
"Consumo não Cíclico";"NTCO3.SA";"GRUPO NATURA "
"Consumo não Cíclico";"BOBR3.SA";"BOMBRIL "
"Consumo não Cíclico";"BOBR4.SA";"BOMBRIL "
"Consumo não Cíclico";"ASAI3.SA";"ASSAI"
"Consumo não Cíclico";"CRFB3.SA";"CARREFOUR BR"
"Consumo não Cíclico";"GMAT3.SA";"GRUPO MATEUS"
"Consumo não Cíclico";"PCAR3.SA";"P.ACUCAR-CBD"
"Consumo Cíclico";"AVLL3.SA";"ALPHAVILLE"
"Consumo Cíclico";"CALI3.SA";"CONST A LIND"
"Consumo Cíclico";"CRDE3.SA";"CR2 "
"Consumo Cíclico";"CURY3.SA";"CURY S/A"
"Consumo Cíclico";"CYRE3.SA";"CYRELA REALT"
"Consumo Cíclico";"DIRR3.SA";"DIRECIONAL "
"Consumo Cíclico";"EVEN3.SA";"EVEN "
"Consumo Cíclico";"EZTC3.SA";"EZTEC "
"Consumo Cíclico";"GFSA3.SA";"GAFISA "
"Consumo Cíclico";"HBOR3.SA";"HELBOR "
"Consumo Cíclico";;"INTER SA "
"Consumo Cíclico";"JHSF3.SA";"JHSF PART "
"Consumo Cíclico";"JFEN3.SA";"JOAO FORTES "
"Consumo Cíclico";;"KALLAS"
"Consumo Cíclico";"LAVV3.SA";"LAVVI"
"Consumo Cíclico";"MELK3.SA";"MELNICK"
"Consumo Cíclico";"MTRE3.SA";"MITRE REALTY"
"Consumo Cíclico";"MDNE3.SA";"MOURA DUBEUX"
"Consumo Cíclico";"MRVE3.SA";"MRV "
"Consumo Cíclico";"PDGR3.SA";"PDG REALT "
"Consumo Cíclico";"PLPL3.SA";"PLANOEPLANO"
"Consumo Cíclico";"RDNI3.SA";"RNI"
"Consumo Cíclico";"RSID3.SA";"ROSSI RESID "
"Consumo Cíclico";"TCSA3.SA";"TECNISA "
"Consumo Cíclico";;"TEGRA INCORP"
"Consumo Cíclico";"TEND3.SA";"TENDA"
"Consumo Cíclico";"TRIS3.SA";"TRISUL "
"Consumo Cíclico";"VIVR3.SA";"VIVER "
"Consumo Cíclico";"CEDO3.SA";"CEDRO "
"Consumo Cíclico";"CEDO4.SA";"CEDRO "
"Consumo Cíclico";"CTNM3.SA";"COTEMINAS "
"Consumo Cíclico";"CTNM4.SA";"COTEMINAS "
"Consumo Cíclico";"DOHL3.SA";"DOHLER "
"Consumo Cíclico";"DOHL4.SA";"DOHLER "
"Consumo Cíclico";;"IND CATAGUAS"
"Consumo Cíclico";"CTKA3.SA";"KARSTEN "
"Consumo Cíclico";"CTKA4.SA";"KARSTEN "
"Consumo Cíclico";"PTNT3.SA";"PETTENATI "
"Consumo Cíclico";"PTNT4.SA";"PETTENATI "
"Consumo Cíclico";"CTSA3.SA";"SANTANENSE "
"Consumo Cíclico";"CTSA4.SA";"SANTANENSE "
"Consumo Cíclico";"SGPS3.SA";"SPRINGS "
"Consumo Cíclico";"TEKA3.SA";"TEKA "
"Consumo Cíclico";"TEKA4.SA";"TEKA "
"Consumo Cíclico";"TXRX3.SA";"TEX RENAUX "
"Consumo Cíclico";"TXRX4.SA";"TEX RENAUX "
"Consumo Cíclico";"TFCO4.SA";"TRACK FIELD"
"Consumo Cíclico";"ALPA3.SA";"ALPARGATAS "
"Consumo Cíclico";"ALPA4.SA";"ALPARGATAS "
"Consumo Cíclico";"CAMB3.SA";"CAMBUCI "
"Consumo Cíclico";"GRND3.SA";"GRENDENE "
"Consumo Cíclico";"VULC3.SA";"VULCABRAS "
"Consumo Cíclico";"MNDL3.SA";"MUNDIAL "
"Consumo Cíclico";"TECN3.SA";"TECHNOS "
"Consumo Cíclico";"VIVA3.SA";"VIVARA S.A."
"Consumo Cíclico";"WHRL3.SA";"WHIRLPOOL "
"Consumo Cíclico";"WHRL4.SA";"WHIRLPOOL "
"Consumo Cíclico";"UCAS3.SA";"UNICASA"
"Consumo Cíclico";"HETA3.SA";"HERCULES "
"Consumo Cíclico";"HETA4.SA";"HERCULES "
"Consumo Cíclico";"MYPK3.SA";"IOCHP-MAXION"
"Consumo Cíclico";"LEVE3.SA";"METAL LEVE "
"Consumo Cíclico";"PLAS3.SA";"PLASCAR PART"
"Consumo Cíclico";"HOOT3.SA";"HOTEIS OTHON"
"Consumo Cíclico";"HOOT4.SA";"HOTEIS OTHON"
"Consumo Cíclico";"BKBR3.SA";"BK BRASIL"
"Consumo Cíclico";"MEAL3.SA";"IMC S/A"
"Consumo Cíclico";"BMKS3.SA";"BIC MONARK "
"Consumo Cíclico";"ESTR3.SA";"ESTRELA "
"Consumo Cíclico";"ESTR4.SA";"ESTRELA "
"Consumo Cíclico";"AHEB3.SA";"SPTURIS "
"Consumo Cíclico";"AHEB5.SA";"SPTURIS "
"Consumo Cíclico";"AHEB6.SA";"SPTURIS "
"Consumo Cíclico";"SHOW3.SA";"TIME FOR FUN"
"Consumo Cíclico";"CVCB3.SA";"CVC BRASIL"
"Consumo Cíclico";"SMFT3.SA";"SMART FIT"
"Consumo Cíclico";"ANIM3.SA";"ANIMA"
"Consumo Cíclico";"BAHI3.SA";"BAHEMA "
"Consumo Cíclico";"COGN3.SA";"COGNA ON"
"Consumo Cíclico";"CSED3.SA";"CRUZEIRO EDU"
"Consumo Cíclico";"SEER3.SA";"SER EDUCA"
"Consumo Cíclico";"YDUQ3.SA";"YDUQS PART"
"Consumo Cíclico";"RENT3.SA";"LOCALIZA "
